,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Customer_Days,AcceptedCmpOverall,Rango_Edad,Rango_Antiguedad,Monto Total,Marital_Status,Education
48,35790,1,0,12,6,20,30,1,3,2,2,0,3,7,0,43,2702,0,40-49,7 años,72,Single,Graduation
49,82582,0,0,510,79,550,120,40,126,1,4,9,7,1,1,43,2181,2,40-49,5 años,1617,Divorced,Graduation
50,66373,1,1,328,9,124,12,24,109,6,4,2,10,3,0,42,2541,0,40-49,6 años,606,Married,Graduation
51,82384,0,0,984,51,432,120,83,126,1,3,10,13,1,1,65,2746,1,60-69,7 años,1957,Together,Master
52,70287,0,0,295,35,482,120,83,40,1,5,5,10,3,1,54,2612,0,50-59,7 años,1093,Divorced,Graduation
53,27938,1,0,13,0,8,2,1,5,1,1,0,4,3,0,32,2221,0,30-39,6 años,29,Single,Graduation
54,55954,0,1,447,0,28,0,0,43,3,8,2,6,7,0,52,2277,0,50-59,6 años,518,Married,PhD
55,75777,0,0,712,26,538,69,13,80,1,3,6,11,1,1,38,2519,2,30-39,6 años,1438,Single,Master
56,66653,1,1,452,18,102,16,18,6,4,4,2,12,3,0,45,2819,0,40-49,7 años,612,Together,Graduation
57,61823,0,1,523,7,134,37,14,126,4,8,2,10,7,0,68,2655,0,60-69,7 años,884,Single,Graduation
58,67680,0,1,546,0,48,0,6,6,1,7,3,8,5,0,69,2542,0,60-69,6 años,606,Widow,PhD
59,70666,0,0,398,40,367,119,83,30,1,7,4,4,4,0,72,2364,0,70+,6 años,1076,Together,Graduation
60,25721,1,0,1,3,6,3,6,15,1,1,1,2,7,1,49,2563,0,40-49,7 años,34,Married,Graduation
61,32474,1,1,10,0,1,0,0,0,1,1,0,2,7,0,53,2208,0,50-59,6 años,11,Together,Graduation
62,88194,0,1,688,14,309,120,24,38,1,11,10,10,5,1,41,2261,2,40-49,6 años,1274,Single,2n Cycle
63,69096,0,1,247,49,159,7,82,109,1,5,2,10,4,0,62,2434,0,60-69,6 años,653,Together,Graduation
64,74854,1,2,856,59,487,58,29,73,6,2,5,5,5,0,50,2606,0,50-59,7 años,1562,Together,Graduation
65,66991,0,0,496,36,460,120,60,12,3,4,8,6,3,0,66,2815,0,60-69,7 años,1253,Married,Master
66,65031,0,1,258,79,291,84,37,86,4,10,3,13,7,0,61,2628,0,60-69,7 años,863,Married,Graduation
67,60631,1,1,565,6,65,0,6,19,5,9,2,8,7,0,45,2609,1,40-49,7 años,661,Married,PhD
68,28332,0,0,14,10,13,4,15,9,1,2,1,4,2,0,68,2219,0,60-69,6 años,65,Married,Graduation
69,40246,1,0,2,1,6,2,1,1,1,1,0,2,6,0,43,2716,0,40-49,7 años,13,Divorced,Graduation
70,75251,0,0,721,79,555,97,18,18,1,7,6,5,5,1,48,2830,0,40-49,7 años,1890,Married,Master
71,75825,0,0,1032,79,555,120,83,51,0,5,8,9,4,1,44,2784,1,40-49,7 años,2209,Single,Graduation
72,26326,0,0,1,0,5,0,3,9,1,0,0,3,3,0,44,2457,0,40-49,6 años,18,Together,2n Cycle
73,56046,0,0,577,0,64,0,0,51,2,10,1,8,8,1,55,2702,1,50-59,7 años,692,Together,Graduation
74,29760,1,0,64,4,68,7,5,17,4,3,1,4,8,0,35,2828,0,30-39,7 años,165,Single,Graduation
75,26304,1,0,4,1,5,2,0,4,1,1,0,2,7,0,51,2530,0,50-59,6 años,16,Married,Graduation
76,23559,1,0,25,5,19,7,0,23,3,3,0,3,7,0,47,2520,0,40-49,6 años,79,Married,2n Cycle
77,38620,0,0,112,17,44,34,22,89,1,2,5,3,3,0,57,2573,0,50-59,7 años,318,Together,Master
78,81361,0,0,163,23,424,27,65,76,1,3,10,13,1,0,33,2283,0,30-39,6 años,778,Divorced,Graduation
79,29440,1,1,17,8,14,10,4,3,2,1,0,4,7,0,60,2481,0,60-69,6 años,56,Married,Graduation
80,36138,1,1,130,0,16,0,0,5,5,3,1,4,7,0,50,2507,1,50-59,6 años,151,Married,Master
81,50388,0,1,292,6,37,0,3,34,4,6,1,6,7,1,63,2191,2,60-69,6 años,372,Single,Graduation
82,79593,0,0,350,60,555,110,83,126,1,5,6,7,2,0,47,2207,1,40-49,6 años,1366,Married,Graduation
83,54178,0,1,135,9,39,4,0,7,1,2,2,5,2,0,53,2318,0,50-59,6 años,194,Together,Graduation
84,42394,1,0,15,2,10,0,1,4,1,1,0,3,7,0,48,2257,0,40-49,6 años,32,Single,Master
85,23626,1,0,27,2,14,0,0,0,3,3,1,3,5,0,50,2195,0,50-59,6 años,43,Married,PhD
86,30096,1,0,5,3,11,12,5,9,1,2,0,3,6,0,37,2197,0,30-39,6 años,45,Married,Graduation
87,47916,0,1,505,0,26,0,0,75,5,7,4,6,6,0,60,2743,1,60-69,7 años,606,Widow,Graduation
88,51813,1,1,51,2,7,0,1,2,2,2,0,3,7,0,48,2603,0,40-49,7 años,63,Divorced,Graduation
89,78497,0,0,207,26,447,75,0,126,1,5,7,12,2,0,69,2369,1,60-69,6 años,978,Married,2n Cycle
90,50150,0,0,135,46,92,65,61,11,2,5,2,7,5,0,37,2533,0,30-39,6 años,410,Married,PhD
91,47823,0,1,53,1,5,2,1,10,2,2,0,3,8,0,60,2500,0,60-69,6 años,72,Single,2n Cycle
92,34554,0,1,41,1,6,2,0,5,2,2,0,3,6,0,61,2250,0,60-69,6 años,55,Single,PhD
93,85693,0,1,386,79,183,120,83,111,2,9,5,11,5,0,41,2594,0,40-49,7 años,1169,Together,Graduation
94,65846,0,0,562,79,276,80,40,81,1,6,3,6,4,0,75,2567,0,70+,7 años,1120,Married,PhD
95,87195,0,0,217,76,555,50,26,38,1,3,10,5,1,1,61,2211,0,60-69,6 años,1097,Married,Graduation
96,24594,1,0,1,3,6,10,0,9,1,1,0,3,5,0,41,2360,0,40-49,6 años,29,Together,Basic
97,49096,1,1,144,1,32,2,1,7,4,4,1,4,7,0,56,2437,0,50-59,6 años,187,Married,Graduation
98,52413,0,2,295,79,271,75,83,65,4,6,4,12,6,0,51,2671,0,50-59,7 años,910,Married,Graduation
99,38557,1,0,76,3,31,4,4,27,2,3,1,3,7,0,42,2716,0,40-49,7 años,145,Single,Graduation
100,89058,0,0,454,79,106,31,22,43,1,5,4,4,2,0,60,2728,0,60-69,7 años,850,Married,Master
101,77298,0,1,425,79,292,23,35,79,1,6,6,11,3,0,41,2398,0,40-49,6 años,969,Together,Graduation
102,68126,0,0,1230,17,311,23,51,86,1,7,4,5,9,1,29,2755,1,20-29,7 años,1820,Single,PhD
103,57288,0,1,527,0,21,0,0,60,3,8,1,8,6,0,57,2163,1,50-59,5 años,608,Together,Master
104,86037,0,0,490,44,125,29,20,22,1,6,7,11,3,1,29,2702,2,20-29,7 años,730,Single,Graduation
105,43974,1,0,378,0,101,0,0,72,5,6,4,6,7,0,40,2723,0,40-49,7 años,551,Married,PhD
106,50785,1,1,64,1,21,0,1,27,2,2,1,3,6,0,58,2451,0,50-59,6 años,114,Single,Graduation
107,90765,0,0,547,79,555,120,82,33,0,4,6,5,1,0,50,2315,2,50-59,6 años,1724,Married,Graduation
108,36550,1,0,47,79,94,120,83,120,5,9,1,5,9,0,42,2654,0,40-49,7 años,577,Married,2n Cycle
109,30753,1,1,12,5,25,0,9,30,2,1,1,3,5,0,53,2512,0,50-59,6 años,81,Together,2n Cycle
110,21918,1,0,1,6,7,11,5,3,2,2,0,3,6,0,51,2386,0,50-59,6 años,33,Together,Graduation
111,56129,0,1,320,48,133,39,72,48,4,6,2,10,4,0,67,2533,0,60-69,6 años,660,Together,Master
112,32557,1,0,34,3,29,0,4,10,3,2,1,3,5,1,53,2284,0,50-59,6 años,80,Single,Master
113,19510,2,0,9,0,7,3,4,7,2,1,0,3,7,0,35,2457,0,30-39,6 años,30,Married,Master
114,30992,1,0,17,0,14,7,3,2,1,1,0,3,7,0,44,2592,0,40-49,7 años,43,Divorced,Graduation
115,101970,0,0,722,27,102,44,72,126,0,6,8,13,2,1,37,2633,3,30-39,7 años,1135,Single,Graduation
116,71488,0,0,162,33,124,40,28,126,2,3,4,7,1,0,55,2655,0,50-59,7 años,559,Together,2n Cycle
117,79607,0,0,450,79,555,120,0,126,1,3,6,6,1,1,36,2593,0,30-39,7 años,1923,Single,Graduation
118,54348,1,1,70,0,16,0,0,4,2,2,0,4,6,0,67,2180,0,60-69,5 años,90,Married,Master
119,77376,1,1,492,19,110,16,12,12,4,6,3,10,4,0,64,2209,0,60-69,6 años,661,Together,PhD
120,62998,0,1,120,58,73,65,83,58,5,5,4,5,5,0,68,2431,0,60-69,6 años,463,Married,Graduation
121,61331,1,1,534,5,47,0,5,41,5,11,1,6,8,0,62,2635,0,60-69,7 años,632,Single,Master
122,73448,0,0,236,79,189,23,41,126,1,7,2,9,4,0,51,2298,0,50-59,6 años,725,Married,Graduation
123,41551,1,1,220,0,33,3,0,23,5,5,1,5,8,0,56,2478,0,50-59,6 años,279,Married,PhD
124,62981,0,0,796,14,555,38,44,0,1,4,5,13,3,0,53,2628,1,50-59,7 años,1482,Together,PhD
125,9548,1,0,0,1,3,10,6,9,2,1,0,3,8,0,44,2849,0,40-49,7 años,29,Divorced,Basic
126,33762,2,1,53,1,34,2,0,16,3,2,2,2,8,0,61,2516,0,60-69,6 años,106,Married,PhD
127,35860,1,1,15,0,8,4,2,20,2,1,1,2,5,1,47,2200,1,40-49,6 años,49,Single,PhD
128,36921,1,1,17,1,12,3,1,4,2,2,0,3,7,0,55,2495,0,50-59,6 años,38,Divorced,PhD
129,92859,0,0,962,61,555,52,61,20,1,5,4,12,2,0,28,2777,0,20-29,7 años,2077,Single,Master
130,65104,0,1,738,0,232,13,20,50,2,3,5,7,7,1,44,2386,0,40-49,6 años,1053,Together,Master
131,86111,0,0,399,28,555,36,40,126,1,5,7,10,2,0,58,2595,0,50-59,7 años,1385,Married,Graduation
132,68352,0,1,614,16,132,43,33,33,3,8,5,9,6,0,46,2464,0,40-49,6 años,871,Single,PhD
133,41883,1,0,32,34,41,73,16,116,3,4,2,3,7,0,32,2626,0,30-39,7 años,312,Together,Graduation
134,59809,0,2,598,16,141,32,41,49,3,3,3,6,8,0,44,2778,0,40-49,7 años,877,Married,Graduation
135,23957,1,0,2,1,18,20,11,16,1,2,0,3,6,1,45,2768,0,40-49,7 años,68,Married,Graduation
136,38547,1,0,6,1,10,0,1,4,1,1,0,2,8,0,39,2464,0,30-39,6 años,22,Together,Graduation
137,35688,2,1,73,3,90,12,1,32,6,4,1,4,8,0,47,2835,0,40-49,7 años,211,Married,2n Cycle
138,49605,0,0,42,16,29,12,20,8,1,2,1,4,3,0,54,2167,0,50-59,5 años,127,Married,Master
139,59354,0,2,295,21,78,39,13,13,1,4,4,7,3,0,67,2225,0,60-69,6 años,459,Married,Master
140,65747,0,1,346,17,48,23,13,13,4,8,1,6,6,0,51,2273,1,50-59,6 años,460,Married,Graduation
141,46344,0,1,233,20,57,8,20,91,4,7,1,5,7,0,48,2721,0,40-49,7 años,429,Together,2n Cycle
142,34176,1,0,5,7,24,19,14,20,4,3,0,4,6,0,32,2207,0,30-39,6 años,89,Single,Graduation
143,61010,0,1,888,0,57,0,0,76,2,8,5,11,5,0,68,2787,0,60-69,7 años,1021,Together,PhD
144,69372,0,0,997,26,269,34,13,42,1,10,4,6,4,1,71,2654,2,70+,7 años,1381,Together,Graduation
145,49967,0,1,212,6,69,4,12,3,3,6,1,5,7,0,62,2515,0,60-69,6 años,306,Single,Graduation
146,60199,1,2,8,1,7,2,0,0,1,0,0,3,4,0,42,2449,0,40-49,6 años,18,Single,Graduation
147,55375,0,1,42,11,57,10,28,14,1,1,1,6,2,0,43,2414,0,40-49,6 años,162,Together,Graduation
148,80317,0,0,536,11,387,120,83,57,1,3,4,10,1,0,65,2472,0,60-69,6 años,1231,Single,Graduation
149,30523,2,1,5,0,3,0,0,5,1,1,0,2,7,0,62,2522,0,60-69,6 años,13,Single,Master
150,70356,0,0,1230,16,249,43,16,33,2,10,6,9,6,0,75,2760,0,70+,7 años,1706,Married,PhD
151,23228,1,0,53,3,49,7,4,5,4,3,0,4,8,0,36,2334,0,30-39,6 años,121,Married,Graduation
152,74165,0,0,1001,12,240,16,12,12,1,5,4,10,2,0,45,2583,0,40-49,7 años,1293,Divorced,PhD
153,43482,2,1,18,1,32,6,3,28,3,2,0,4,6,0,54,2387,0,50-59,6 años,88,Together,Graduation
154,62551,0,0,125,16,98,120,21,27,1,6,7,4,3,0,67,2382,1,60-69,6 años,421,Divorced,Graduation
155,52332,0,0,212,5,33,7,0,2,1,3,2,6,4,0,61,2464,1,60-69,6 años,259,Divorced,Graduation
156,66951,0,0,277,79,305,120,76,124,1,3,4,7,1,0,32,2398,0,30-39,6 años,1117,Single,Graduation
157,26091,1,1,15,10,19,8,17,20,3,2,1,3,5,0,63,2283,0,60-69,6 años,89,Together,Graduation
158,33456,1,1,7,3,10,8,1,7,2,1,0,3,7,0,55,2228,0,50-59,6 años,36,Together,Graduation
159,28718,1,0,12,4,6,11,8,16,2,2,0,3,8,0,38,2510,0,30-39,6 años,57,Married,Graduation
160,50447,2,0,85,7,24,2,3,27,1,3,1,3,6,0,50,2228,0,50-59,6 años,148,Married,Graduation
161,53537,1,1,81,0,6,0,0,6,2,2,1,3,5,0,61,2309,0,60-69,6 años,93,Together,PhD
162,52074,0,1,59,0,12,0,0,48,1,2,2,2,4,0,53,2245,1,50-59,6 años,119,Single,Graduation
163,80427,0,1,1149,71,449,69,71,26,1,11,8,8,5,0,45,2814,0,40-49,7 años,1835,Married,PhD
164,83837,0,0,847,66,119,86,83,111,1,9,10,5,4,1,72,2719,2,70+,7 años,1318,Married,PhD
165,38853,1,1,29,0,14,0,0,2,2,2,0,3,7,0,50,2196,0,50-59,6 años,45,Married,PhD
166,38285,2,1,2,0,5,2,0,1,1,0,0,3,2,0,61,2164,0,60-69,5 años,10,Together,Graduation
167,78497,0,0,207,26,447,75,0,126,1,5,7,12,2,0,69,2369,1,60-69,6 años,978,Married,2n Cycle
168,51650,0,1,152,3,22,2,5,7,1,4,1,4,5,0,44,2208,0,40-49,6 años,191,Married,PhD
169,16248,1,0,12,11,10,3,12,9,3,2,1,3,6,0,32,2209,0,30-39,6 años,57,Married,2n Cycle
170,66835,0,0,620,26,195,34,17,126,1,6,4,13,2,0,74,2433,0,70+,6 años,1033,Married,Master
171,30477,1,0,47,1,6,0,0,12,1,1,1,3,6,0,36,2317,0,30-39,6 años,66,Married,Master
172,28249,0,0,1,9,7,2,14,10,1,2,0,3,6,0,59,2173,0,50-59,5 años,43,Married,Basic
173,25271,1,0,10,1,18,10,4,7,1,1,1,2,9,0,37,2730,0,30-39,7 años,50,Married,Graduation
174,32303,0,1,35,0,2,0,0,2,2,1,0,4,5,0,50,2272,0,50-59,6 años,39,Single,PhD
175,61286,0,1,356,0,107,19,9,117,2,7,1,8,5,0,54,2490,0,50-59,6 años,608,Married,Graduation
176,74068,0,0,783,30,537,120,76,15,1,4,10,9,2,0,44,2626,0,40-49,7 años,1581,Married,Graduation
177,45759,1,1,42,1,18,3,0,4,2,2,0,3,7,0,56,2650,0,50-59,7 años,68,Married,PhD
178,24882,1,0,1,4,10,29,0,36,1,1,1,2,6,0,42,2817,1,40-49,7 años,80,Together,Basic
179,66973,0,0,466,22,432,120,83,102,1,8,7,12,3,0,31,2567,0,30-39,7 años,1282,Together,PhD
180,38872,1,0,23,3,21,3,19,22,2,3,0,3,8,0,32,2554,0,30-39,7 años,91,Married,Graduation
181,51148,1,1,235,6,45,8,9,12,4,5,1,6,6,0,47,2655,0,40-49,7 años,315,Married,Graduation
182,31353,1,1,10,0,10,3,1,7,2,1,1,2,8,0,43,2341,0,40-49,6 años,31,Married,Graduation
183,69661,0,0,656,16,106,32,16,8,1,7,3,12,3,0,40,2206,0,40-49,6 años,834,Married,Master
184,80067,0,0,519,17,555,27,83,51,1,4,6,6,2,0,66,2442,1,60-69,6 años,1600,Married,Graduation
185,86718,0,0,344,79,482,50,33,126,1,5,6,5,2,0,66,2687,0,60-69,7 años,1270,Married,Graduation
186,46854,1,1,96,1,79,7,1,79,6,5,1,3,8,1,47,2249,1,40-49,6 años,263,Single,PhD
187,69142,0,1,448,4,34,6,4,39,3,8,1,7,5,0,68,2159,1,60-69,5 años,535,Divorced,Graduation
188,75922,0,0,265,79,553,120,23,92,1,4,4,9,1,0,52,2361,0,50-59,6 años,1295,Single,Graduation
189,63693,0,1,587,43,337,42,83,54,3,11,6,9,6,0,42,2417,0,40-49,6 años,1150,Divorced,Graduation
190,102160,0,0,763,29,138,76,83,58,0,7,9,10,4,1,43,2763,3,40-49,7 años,1240,Together,PhD
191,40637,1,1,22,0,13,0,0,3,2,1,0,3,7,0,55,2506,0,50-59,6 años,38,Single,PhD
192,18890,0,0,6,4,1,7,2,15,1,0,1,2,6,1,36,2755,1,30-39,7 años,35,Single,Master
193,29604,1,0,7,6,13,7,6,14,1,1,0,3,9,0,32,2362,1,30-39,6 años,53,Together,Graduation
194,48721,1,1,81,18,113,47,13,21,6,4,2,5,6,0,57,2571,0,50-59,7 años,293,Divorced,Master
195,44794,0,1,54,0,7,0,0,4,1,2,0,3,6,0,54,2180,0,50-59,5 años,65,Married,Graduation
196,64497,0,1,1170,48,320,42,32,126,5,11,4,9,8,1,66,2816,1,60-69,7 años,1804,Divorced,Graduation
197,46097,0,1,72,24,68,65,4,8,5,3,1,6,4,0,64,2614,0,60-69,7 años,241,Together,Graduation
198,77972,0,0,613,22,319,33,83,12,1,4,6,9,1,0,66,2262,0,60-69,6 años,1101,Together,Graduation
199,44377,1,1,224,0,30,0,0,10,6,5,1,5,8,0,52,2791,0,50-59,7 años,264,Married,PhD
200,46014,1,1,410,0,59,19,9,44,6,7,1,8,7,0,46,2683,0,40-49,7 años,541,Together,Master
201,70951,0,0,239,10,554,120,83,54,1,3,4,9,1,0,35,2580,0,30-39,7 años,1198,Married,Graduation
202,41443,1,0,171,7,171,25,19,89,6,8,1,5,8,0,43,2248,0,40-49,6 años,482,Married,Graduation
203,52195,2,1,12,0,4,0,0,1,1,1,0,2,8,0,42,2207,0,40-49,6 años,17,Single,2n Cycle
204,83790,0,0,1076,16,417,42,48,16,1,8,10,6,3,0,72,2385,2,70+,6 años,1615,Married,Master
205,44551,0,1,182,4,33,0,0,66,2,4,1,5,7,0,66,2461,0,60-69,6 años,285,Widow,Master
206,69508,1,0,824,32,162,42,32,43,2,11,4,11,6,0,40,2751,0,40-49,7 años,1135,Together,Graduation
207,45204,1,0,30,11,25,29,1,18,1,1,1,4,3,0,32,2238,0,30-39,6 años,114,Together,2n Cycle
208,72460,0,0,377,10,540,80,30,10,1,3,5,7,1,0,51,2386,0,50-59,6 años,1047,Married,Graduation
209,77622,0,2,520,7,154,19,0,14,2,6,3,11,3,0,50,2235,0,50-59,6 años,714,Together,PhD
210,30732,1,0,155,1,25,0,1,3,4,4,1,4,8,0,40,2699,0,40-49,7 años,185,Married,PhD
211,63887,0,1,897,23,207,15,11,92,5,9,6,12,6,0,58,2818,0,50-59,7 años,1245,Divorced,Graduation
212,42011,1,0,131,0,16,2,1,39,4,3,1,4,8,0,42,2619,0,40-49,7 años,189,Together,Graduation
213,51369,0,1,297,7,79,0,11,126,2,8,2,4,8,0,44,2771,0,40-49,7 años,576,Together,Graduation
214,51537,0,1,787,20,204,0,0,92,3,2,2,11,8,0,68,2726,0,60-69,7 años,1103,Divorced,Graduation
215,79930,0,0,792,79,555,67,51,17,1,3,5,8,2,0,48,2849,0,40-49,7 años,1753,Married,PhD
216,34320,1,0,4,1,9,3,0,0,1,1,0,2,8,0,34,2292,0,30-39,6 años,17,Together,PhD
217,37070,1,1,231,7,137,4,15,39,6,5,1,8,7,1,54,2625,0,50-59,7 años,433,Single,Graduation
218,81975,0,1,983,76,184,120,83,27,1,6,3,4,7,0,58,2699,1,50-59,7 años,1588,Divorced,2n Cycle
219,38590,1,0,3,1,8,4,3,3,1,1,0,2,8,0,49,2569,0,40-49,7 años,22,Together,Graduation
220,15033,0,0,0,4,5,6,0,4,1,1,0,3,3,0,69,2233,0,60-69,6 años,19,Single,Graduation
221,62745,0,1,562,21,464,28,10,32,3,7,8,11,5,0,55,2622,0,50-59,7 años,1117,Married,PhD
222,22212,1,0,5,9,20,6,8,21,2,2,0,4,6,0,45,2361,0,40-49,6 años,69,Married,2n Cycle
223,23661,1,0,18,0,4,0,0,1,1,1,0,3,7,0,38,2366,0,30-39,6 años,23,Together,Master
224,79761,0,1,415,5,124,15,35,11,1,5,2,11,3,0,62,2427,0,60-69,6 años,605,Single,PhD
225,7500,1,0,5,3,10,12,7,20,4,3,1,3,7,0,47,2344,0,40-49,6 años,57,Single,Graduation
226,73455,0,0,901,61,555,120,83,20,1,6,5,10,3,0,52,2403,1,50-59,6 años,2088,Widow,Graduation
227,64961,0,1,382,79,276,75,83,38,2,6,4,4,3,0,62,2712,0,60-69,7 años,1009,Together,Graduation
228,22804,1,0,14,1,7,2,1,1,1,2,0,2,9,0,49,2492,0,40-49,6 años,26,Single,Graduation
229,73687,0,0,559,79,503,120,13,126,1,3,9,9,2,1,30,2372,1,30-39,6 años,1627,Married,Graduation
230,61074,0,1,789,0,133,0,28,126,6,11,5,8,7,0,62,2840,0,60-69,7 años,1102,Married,Graduation
231,31686,1,1,11,0,5,0,0,1,2,1,0,3,6,0,56,2183,0,50-59,5 años,17,Married,PhD
232,80134,1,0,1218,16,272,104,0,80,2,5,3,6,6,1,48,2564,3,40-49,7 años,1690,Married,Graduation
233,75027,0,1,925,64,179,120,12,77,2,9,4,6,5,0,67,2695,0,60-69,7 años,1390,Married,Graduation
234,67546,0,0,864,79,555,120,38,126,1,4,10,5,3,0,32,2826,0,30-39,7 años,2126,Married,PhD
